HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
0.0,18.5,12.0,-5941.538316771912,3.867929545663325e-07
4.315245778674194,18.5,12.0,-5467.298639758324,3.867929545663325e-07
5.1455495571066425,18.5,12.0,-5366.8349105055995,3.867929545663325e-07
5.302954702456282,18.5,12.0,-5343.157926388875,3.867929545663325e-07
5.3294065494730605,15.0,12.0,-5334.433062679555,3.867929545663325e-07
0.0,15.0,12.0,-4913.488227523327,3.867929545663325e-07
0.0,15.0,12.0,-4143.276954069526,3.867929545663325e-07
0.0,15.0,12.0,-3493.6111017221747,3.867929545663325e-07
0.0,15.0,12.0,-3044.7014748155216,3.867929545663325e-07
4.608976807554166,15.0,12.0,-2839.3038867609416,3.867929545663325e-07
4.090952444185052,15.0,12.0,-2894.676094801785,3.867929545663325e-07
3.4408937909003043,15.0,12.0,-2965.0870117178138,3.867929545663325e-07
4.386424330504951,15.0,11.0,-2971.513590137057,3.867929545663325e-07
3.9715479452957654,15.0,11.0,-3015.7331348690836,3.867929545663325e-07
3.5329401048054936,15.0,11.0,-3062.643073384905,3.867929545663325e-07
4.642947743082186,15.0,11.0,-2932.951918255433,3.867929545663325e-07
4.064685693852129,15.0,11.0,-2995.8346303867047,3.867929545663325e-07
3.789056427192168,15.0,11.0,-3024.187237529325,3.867929545663325e-07
4.96500607356129,15.0,11.0,-2887.013050808144,3.867929545663325e-07
4.2886640442430695,15.0,11.0,-2961.1127035932836,3.867929545663325e-07
3.729022546842941,15.0,11.0,-3021.8706976339677,3.867929545663325e-07
4.686597254779133,15.0,11.0,-2909.6041586225474,3.867929545663325e-07
4.1812217210723475,15.0,11.0,-2964.210564782466,3.867929545663325e-07
3.2724152888536424,15.0,11.0,-3064.7991167748055,3.867929545663325e-07
4.053782083488989,15.0,11.0,-2972.6203496559037,3.867929545663325e-07
5.061624183082666,15.0,11.0,-2854.664868171088,3.867929545663325e-07
4.305475636312553,15.0,11.0,-2937.911136459428,3.867929545663325e-07
3.394144940345427,15.0,11.0,-3038.8204041599097,3.867929545663325e-07
4.199056544852692,15.0,11.0,-2943.9900129458224,3.867929545663325e-07
5.1220910186842055,15.0,11.0,-2835.7367526064327,3.867929545663325e-07
4.232937930860408,15.0,10.0,-3052.1601093070303,3.867929545663325e-07
3.8538790193530987,15.0,10.0,-3092.9929402539333,3.867929545663325e-07
3.7369857476919606,15.0,10.0,-3103.9148468064964,3.867929545663325e-07
0.0,15.0,10.0,-3184.5389744905215,3.867929545663325e-07
3.4208975200985607,15.0,10.0,-3135.1131058150027,3.867929545663325e-07
0.0,15.0,10.0,-3166.1730423359195,3.867929545663325e-07
3.3095799199455542,15.0,10.0,-3142.9721264387463,3.867929545663325e-07
3.3531819411852215,15.0,10.0,-3135.6003696363905,3.867929545663325e-07
0.0,15.0,10.0,-3168.4111035689302,3.867929545663325e-07
4.14289988002613,15.0,10.0,-3040.741756930582,3.867929545663325e-07
3.889246250852466,15.0,10.0,-3067.307612580156,3.867929545663325e-07
3.643501878484176,18.5,10.0,-3092.9667568641134,3.867929545663325e-07
8.0,18.5,10.0,-3392.692597148777,3.867929545663325e-07
8.0,18.5,10.0,-4107.901463306722,3.867929545663325e-07
8.0,18.5,10.0,-4711.181222687312,3.867929545663325e-07
7.636809702251253,18.5,10.0,-5176.07795324158,3.867929545663325e-07
5.745440343679139,18.5,10.0,-5387.626892849577,3.867929545663325e-07
5.484411914712155,18.5,10.0,-5413.167297225391,3.867929545663325e-07
5.338389735886586,18.5,10.0,-5170.231938096603,3.867929545663325e-07
5.214642664837879,18.5,10.0,-5180.103409971872,3.867929545663325e-07
5.187672624297443,18.5,10.0,-5178.940794890484,3.867929545663325e-07
5.179400546402007,18.5,10.0,-5175.652703951574,3.867929545663325e-07
5.174742721144549,18.5,10.0,-5171.96013581068,3.867929545663325e-07
5.170787857470805,18.5,10.0,-5168.195246651709,3.867929545663325e-07
5.055523967384875,18.5,10.0,-4869.475953640249,3.867929545663325e-07
4.918783989715258,18.5,10.0,-4880.851579105739,3.867929545663325e-07
4.889354161665665,18.5,10.0,-4879.991274143404,3.867929545663325e-07
4.880632618338814,18.5,10.0,-4876.776079714748,3.867929545663325e-07
4.87590554566591,18.5,10.0,-4873.112985341762,3.867929545663325e-07
4.871953278094589,18.5,10.0,-4869.369332043544,3.867929545663325e-07
4.5106818860474505,18.5,11.0,-3918.8417266783326,3.867929545663325e-07
4.079969706051088,18.5,11.0,-3963.1296069693867,3.867929545663325e-07
3.9930953493437755,18.5,11.0,-3968.1955166440885,3.867929545663325e-07
3.9728297596440143,18.5,11.0,-3965.6705793042274,3.867929545663325e-07
3.965422134489586,18.5,11.0,-3961.6876098357207,3.867929545663325e-07
3.960500160874608,18.5,11.0,-3957.4300462114898,3.867929545663325e-07
3.3088161204098245,18.5,12.0,-3155.6787246123718,3.867929545663325e-07
0.0,18.5,12.0,-3180.1458067914373,3.867929545663325e-07
4.175466155087657,18.5,12.0,-3045.9572468988945,3.867929545663325e-07
3.918926346573244,18.5,12.0,-3069.820905691248,3.867929545663325e-07
3.6234948694401283,18.5,12.0,-3098.119934230941,3.867929545663325e-07
3.536091300064527,18.5,12.0,-3102.691737359659,3.867929545663325e-07
0.0,18.5,12.0,-3486.283412323797,3.867929545663325e-07
3.418502698430007,18.5,12.0,-3441.7504121762468,3.867929545663325e-07
3.432883433080633,18.5,12.0,-3434.7405369321564,3.867929545663325e-07
3.431766056847687,18.5,12.0,-3429.508978985478,3.867929545663325e-07
3.4276713072102214,18.5,12.0,-3424.627134755043,3.867929545663325e-07
3.423010619748993,18.5,12.0,-3419.819846708996,3.867929545663325e-07
3.4135514061572394,18.5,12.0,-3402.6130737111316,3.867929545663325e-07
3.4031762084955517,18.5,12.0,-3398.476628318461,3.867929545663325e-07
3.3973285453911104,18.5,12.0,-3393.833532581279,3.867929545663325e-07
3.392358771079171,18.5,12.0,-3389.100183298548,3.867929545663325e-07
3.387564963771661,18.5,12.0,-3384.3566493853896,3.867929545663325e-07
3.3828121463645857,18.5,12.0,-3379.6183128243265,3.867929545663325e-07
3.7220446269999004,18.5,12.0,-4285.838699738423,3.867929545663325e-07
4.127928458922407,18.5,12.0,-4234.346692808119,3.867929545663325e-07
4.202703737789375,18.5,12.0,-4220.643012764449,3.867929545663325e-07
4.21334285194921,18.5,12.0,-4214.266760952387,3.867929545663325e-07
4.211645857439907,18.5,12.0,-4209.307662668825,3.867929545663325e-07
4.2075873091891935,18.5,12.0,-4204.627628111304,3.867929545663325e-07
4.525114323088838,18.5,12.0,-5052.8039826282165,3.867929545663325e-07
4.904938287798541,18.5,12.0,-5004.41728434474,3.867929545663325e-07
