HP dynamic modelling [kW],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [kW],Efficiency [K/J]
3.5526557634806526,18.5,12.0,-3673.2742505088463,2.2562922349702734e-07
3.6193866961300047,18.5,12.0,-3664.542643217045,2.2562922349702734e-07
3.6438405644651084,18.5,12.0,-3659.6901158394885,2.2562922349702734e-07
3.6518765582007973,18.5,12.0,-3656.3468211472928,2.2562922349702734e-07
3.6535385971143572,18.5,12.0,-3653.5922861180143,2.2562922349702734e-07
3.652727661688846,18.5,12.0,-3651.0690011148927,2.2562922349702734e-07
3.7250494934885867,18.5,11.0,-3906.3109770185542,2.2562922349702734e-07
3.8258844668869187,18.5,11.0,-3894.856494559769,2.2562922349702734e-07
3.86381081506695,18.5,11.0,-3889.1711337929482,2.2562922349702734e-07
3.8773048857732193,18.5,11.0,-3885.7287622694525,2.2562922349702734e-07
3.8813115139594174,18.5,11.0,-3883.159768906381,2.2562922349702734e-07
3.8816353781566706,18.5,11.0,-3880.9321828936204,2.2562922349702734e-07
3.880531036518983,18.5,11.0,-3878.839380574229,2.2562922349702734e-07
3.8788741611244633,18.5,11.0,-3876.8011049039483,2.2562922349702734e-07
3.8770048598511497,18.5,11.0,-3874.786180082878,2.2562922349702734e-07
3.875055226451673,18.5,11.0,-3872.782493564835,2.2562922349702734e-07
3.873076561947755,18.5,11.0,-3870.7853369831228,2.2562922349702734e-07
3.871088787579288,18.5,11.0,-3868.7928777514744,2.2562922349702734e-07
3.8690996367759456,18.5,11.0,-3866.8044002354814,2.2562922349702734e-07
3.8671121092820386,18.5,11.0,-3864.8196226269397,2.2562922349702734e-07
3.865127366312845,18.5,11.0,-3862.8384316201946,2.2562922349702734e-07
3.8631458550189794,18.5,11.0,-3860.8607793617393,2.2562922349702734e-07
3.861167745221428,18.5,11.0,-3858.8866434260513,2.2562922349702734e-07
3.8591930990359518,18.5,11.0,-3856.91601127052,2.2562922349702734e-07
3.8572219367536036,18.5,11.0,-3854.9488741978735,2.2562922349702734e-07
3.855254262428207,18.5,11.0,-3852.98522501121,2.2562922349702734e-07
3.8532900738141964,18.5,11.0,-3851.0250571032425,2.2562922349702734e-07
3.8513293662261505,18.5,11.0,-3849.0683641025644,2.2562922349702734e-07
3.849372134038072,18.5,11.0,-3847.1151397362346,2.2562922349702734e-07
3.8474183712654395,18.5,11.0,-3845.165377776407,2.2562922349702734e-07
3.89798995393453,18.5,10.0,-4025.8724373715495,2.2562922349702734e-07
3.9690689872351643,18.5,10.0,-4017.6080412423375,2.2562922349702734e-07
3.9956972025112236,18.5,10.0,-4013.4203951193385,2.2562922349702734e-07
4.005061883089548,18.5,10.0,-4010.8179427649015,2.2562922349702734e-07
4.007722976020614,18.5,10.0,-4008.832923129491,2.2562922349702734e-07
4.007782074714465,18.5,10.0,-4007.0894443684806,2.2562922349702734e-07
4.006832270067889,18.5,10.0,-4005.441503787018,2.2562922349702734e-07
4.00549232625574,18.5,10.0,-4003.8323898732324,2.2562922349702734e-07
4.004002571291221,18.5,10.0,-4002.2400725190428,2.2562922349702734e-07
4.0024563462810425,18.5,10.0,-4000.655992090542,2.2562922349702734e-07
4.000889901985238,18.5,10.0,-3999.076820949972,2.2562922349702734e-07
3.9993173151303156,18.5,10.0,-3997.5012635859966,2.2562922349702734e-07
3.9977440500337256,18.5,10.0,-3995.92881377252,2.2562922349702734e-07
3.9961722259653474,18.5,10.0,-3994.35927184673,2.2562922349702734e-07
3.99460266299202,18.5,10.0,-3992.7925572197537,2.2562922349702734e-07
3.993035676580803,18.5,10.0,-3991.228635556042,2.2562922349702734e-07
3.9914713862204283,18.5,10.0,-3989.6674904900547,2.2562922349702734e-07
3.989909835288518,18.5,10.0,-3988.109112641133,2.2562922349702734e-07
3.988351037607163,18.5,10.0,-3986.553495346944,2.2562922349702734e-07
3.9867949955248605,18.5,10.0,-3985.0006330063657,2.2562922349702734e-07
3.985241706939405,18.5,10.0,-3983.4505204358566,2.2562922349702734e-07
3.9836911680252345,18.5,10.0,-3981.9031526195004,2.2562922349702734e-07
3.9821433742930825,18.5,10.0,-3980.3585246118755,2.2562922349702734e-07
3.9805983210012528,18.5,10.0,-3978.816631500345,2.2562922349702734e-07
4.031577808135808,18.5,9.0,-4159.930840828522,2.2562922349702734e-07
4.103064034851923,18.5,9.0,-4152.072868129666,2.2562922349702734e-07
4.130098821507523,18.5,9.0,-4148.290912398104,2.2562922349702734e-07
4.139869351943753,18.5,9.0,-4146.093427932247,2.2562922349702734e-07
4.142935556206612,18.5,9.0,-4144.512656657142,2.2562922349702734e-07
4.143399032249227,18.5,9.0,-4143.172707725484,2.2562922349702734e-07
4.14285287761204,18.5,9.0,-4141.927579244675,2.2562922349702734e-07
4.14191586138893,15.0,9.0,-4140.720560660608,2.2562922349702734e-07
0.0,15.0,9.0,-3981.639636074923,2.2562922349702734e-07
0.0,15.0,9.0,-3676.8542631486184,2.2562922349702734e-07
0.0,15.0,9.0,-3395.493825272346,2.2562922349702734e-07
0.0,15.0,9.0,-3135.7578335210264,2.2562922349702734e-07
0.0,15.0,8.0,-3076.297980613612,2.2562922349702734e-07
0.0,15.0,8.0,-2841.5529765630845,2.2562922349702734e-07
0.0,15.0,8.0,-2624.848907682651,2.2562922349702734e-07
0.0,15.0,8.0,-2407.4674835601754,2.2562922349702734e-07
3.960721430626518,15.0,8.0,-2289.1628863481237,2.2562922349702734e-07
4.0468602676672845,15.0,8.0,-2281.586245109808,2.2562922349702734e-07
4.093840036627057,15.0,8.0,-2277.598652482756,2.2562922349702734e-07
4.119240924145879,15.0,8.0,-2275.588540422031,2.2562922349702734e-07
4.132769087993347,15.0,8.0,-2274.666152162127,2.2562922349702734e-07
4.139793261455043,15.0,8.0,-2274.3393431501922,2.2562922349702734e-07
4.143285223863211,15.0,8.0,-2274.335698106699,2.2562922349702734e-07
4.144889216897195,15.0,8.0,-2274.5044973218983,2.2562922349702734e-07
4.078615174756192,15.0,9.0,-2093.4256473106107,2.2562922349702734e-07
3.9744080713344605,15.0,9.0,-2102.916580280008,2.2562922349702734e-07
3.9158830429518505,15.0,9.0,-2108.2198375015096,2.2562922349702734e-07
3.882936856965603,15.0,9.0,-2111.1783174336456,2.2562922349702734e-07
3.8643437400140215,15.0,9.0,-2112.821109541672,2.2562922349702734e-07
3.853816907989267,15.0,9.0,-2113.724537361057,2.2562922349702734e-07
3.84782847447309,15.0,9.0,-2114.212010611817,2.2562922349702734e-07
3.8443960646226745,15.0,9.0,-2114.4652585090507,2.2562922349702734e-07
3.842404710468145,15.0,9.0,-2114.586493026967,2.2562922349702734e-07
3.8412268546990505,15.0,9.0,-2114.633244002256,2.2562922349702734e-07
3.840509040426116,15.0,9.0,-2114.6379137842296,2.2562922349702734e-07
3.840052041029776,15.0,9.0,-2114.618766022292,2.2562922349702734e-07
3.839743452913058,15.0,9.0,-2114.586105056171,2.2562922349702734e-07
3.839519772516019,15.0,9.0,-2114.5457524130093,2.2562922349702734e-07
3.839345053473676,18.5,9.0,-2114.5010033620238,2.2562922349702734e-07
8.0,18.5,9.0,-2338.8747966792444,2.2562922349702734e-07
8.0,18.5,9.0,-2770.423252370627,2.2562922349702734e-07
8.0,18.5,9.0,-3168.8062660662167,2.2562922349702734e-07
8.0,18.5,9.0,-3536.572999605217,2.2562922349702734e-07
7.361571594451243,18.5,9.0,-3840.5901860310482,2.2562922349702734e-07
5.4043862457235265,18.5,9.0,-4018.67462290183,2.2562922349702734e-07
4.627671338946357,18.5,9.0,-4088.57603258919,2.2562922349702734e-07
4.325241787098458,18.5,9.0,-4115.0143104715535,2.2562922349702734e-07
4.207052836808794,18.5,9.0,-4124.570306427292,2.2562922349702734e-07
4.112780331166391,18.5,9.0,-3961.827251129038,2.2562922349702734e-07
4.027796750101584,18.5,9.0,-3968.335871035876,2.2562922349702734e-07
3.9940709295793115,18.5,9.0,-3970.149288672809,2.2562922349702734e-07
3.980256208925016,18.5,9.0,-3970.1402325647373,2.2562922349702734e-07
3.974176679908442,18.5,9.0,-3969.424547299827,2.2562922349702734e-07
3.9711029208108357,18.5,9.0,-3968.435651855134,2.2562922349702734e-07
3.9211966727598795,18.5,9.0,-3800.383757419672,2.2562922349702734e-07
3.8530988581990644,18.5,9.0,-3805.3495392196023,2.2562922349702734e-07
3.825935280183376,18.5,9.0,-3806.566199175159,2.2562922349702734e-07
3.81467238535663,18.5,9.0,-3806.327907581606,2.2562922349702734e-07
3.809586743683667,18.5,9.0,-3805.52575419354,2.2562922349702734e-07
3.806901656670334,18.5,9.0,-3804.5058466603673,2.2562922349702734e-07
3.774895729574246,18.5,9.0,-3698.1732262025967,2.2562922349702734e-07
3.7315012171718767,18.5,9.0,-3700.8829712054003,2.2562922349702734e-07
3.7139375616288364,18.5,9.0,-3701.2277140141,2.2562922349702734e-07
3.70640793826683,18.5,9.0,-3700.655134423951,2.2562922349702734e-07
3.7027767824306466,18.5,9.0,-3699.727515972301,2.2562922349702734e-07
3.7006610325993736,18.5,9.0,-3698.6632479029417,2.2562922349702734e-07
3.7175980094154966,18.5,9.0,-3761.762739818353,2.2562922349702734e-07
3.7419371303971958,18.5,9.0,-3758.2819001113417,2.2562922349702734e-07
3.7506904645632404,18.5,9.0,-3756.231614077421,2.2562922349702734e-07
3.753391614647558,18.5,9.0,-3754.7381805273717,2.2562922349702734e-07
3.753743389920624,18.5,9.0,-3753.462255365297,2.2562922349702734e-07
3.7531839277045496,18.5,9.0,-3752.2720380401847,2.2562922349702734e-07
3.7218251335005337,18.5,9.0,-3645.2207995887065,2.2562922349702734e-07
3.6785038096146767,18.5,9.0,-3647.9482054168698,2.2562922349702734e-07
3.6609827286996737,18.5,9.0,-3648.313371116086,2.2562922349702734e-07
3.6534835001401236,18.5,9.0,-3647.762287189158,2.2562922349702734e-07
3.6498778347840473,18.5,9.0,-3646.8565704955954,2.2562922349702734e-07
3.6477855863990953,18.5,9.0,-3645.814343188612,2.2562922349702734e-07
3.681655083608348,18.5,9.0,-3767.7490108273514,2.2562922349702734e-07
3.72949489288842,18.5,9.0,-3762.1417090503537,2.2562922349702734e-07
3.7473908168496113,18.5,9.0,-3759.2807455495285,2.2562922349702734e-07
3.7536578939663516,18.5,9.0,-3757.4876535519493,2.2562922349702734e-07
