HP dynamic modelling [kW],T_in [C°],T_setpoint [C°],T_out [C°],P net=(P_irr+Q_cond-Q_inf) [W],Efficiency [K/J]
0.0,18.00231535992766,18.5,12.0,-407.1044613951611,5.415101363928656e-07
0.0,18.003345674453875,18.5,12.0,-364.44242810339017,5.415101363928656e-07
0.0,18.001374388865997,18.5,12.0,-363.62755201864104,5.415101363928656e-07
0.0,18.002528090490088,18.5,12.0,-364.03479053201136,5.415101363928656e-07
0.0,18.003679589219452,18.5,12.0,-364.44116395786205,5.415101363928656e-07
0.0,18.00170831046169,18.5,12.0,-363.62629354318665,5.415101363928656e-07
0.0,18.00284582928985,18.5,12.0,-364.02720641184555,5.415101363928656e-07
0.0,18.003500431369794,18.5,12.0,-1644.895273651477,5.415101363928656e-07
0.0,18.001200143696735,18.5,12.0,-1643.9517427161147,5.415101363928656e-07
3.2004530186469085,17.99992921583642,18.5,12.0,-1643.4107797875888,5.415101363928656e-07
3.2015499086000547,17.99975782678124,18.5,12.0,-1643.2998242815452,5.415101363928656e-07
3.2008444032884427,17.99986806198618,18.5,12.0,-1643.2990045133915,5.415101363928656e-07
3.200320957431677,17.9999498504013,18.5,12.0,-1643.2870603553702,5.415101363928656e-07
3.2047476171190286,17.999258184825152,18.5,12.0,-2835.728876963909,5.415101363928656e-07
3.20999145560113,17.998438835062323,18.5,12.0,-2835.3645291395264,5.415101363928656e-07
3.2020550563102463,17.999678897451524,18.5,12.0,-2835.8055667839003,5.415101363928656e-07
0.0,18.000269995490527,18.5,12.0,-2835.992811356278,5.415101363928656e-07
3.215283770164615,17.99761191091178,18.5,12.0,-2834.909381663622,5.415101363928656e-07
3.222132619635522,17.99654177818195,18.5,12.0,-2834.446969427477,5.415101363928656e-07
3.211664600880886,17.99817740611236,18.5,11.0,-2995.1836968868,5.415101363928656e-07
3.204297696319918,17.999328484950013,18.5,11.0,-2995.59435142917,5.415101363928656e-07
3.217581270576193,17.99725292647247,18.5,11.0,-2994.7431446313235,5.415101363928656e-07
3.2303838786860073,17.99525251895531,18.5,11.0,-2993.9213379127045,5.415101363928656e-07
3.222337056247216,17.996509834961373,18.5,11.0,-2994.37355596582,5.415101363928656e-07
3.214579431868697,17.997721963770516,18.5,11.0,-2994.808098275038,5.415101363928656e-07
3.207100563512654,17.998890536951148,18.5,11.0,-2995.2256031037546,5.415101363928656e-07
3.220464740286525,17.99680238433023,18.5,11.0,-2994.3694796698387,5.415101363928656e-07
3.2333450409417313,17.994789837352855,18.5,11.0,-2993.5429341851545,5.415101363928656e-07
3.2251845827372336,17.996064908947307,18.5,11.0,-2994.002104721943,5.415101363928656e-07
3.2173174258661903,17.997294152208408,18.5,11.0,-2994.443348704443,5.415101363928656e-07
3.2097329801337993,17.998479221854094,18.5,11.0,-2994.8673134520623,5.415101363928656e-07
3.208300249887634,17.998703085955057,18.5,11.0,-2994.9153700839433,5.415101363928656e-07
3.2069179066058497,17.998919077092836,18.5,11.0,-2994.9603481562026,5.415101363928656e-07
3.220341405203749,17.996821655436914,18.5,11.0,-2994.100609046661,5.415101363928656e-07
3.233278886099879,17.994800174046894,18.5,11.0,-2993.270578789018,5.415101363928656e-07
3.2251114116376813,17.996076341931612,18.5,11.0,-2993.730187381229,5.415101363928656e-07
3.2172374921578695,17.997306641850333,18.5,11.0,-2994.1718539147005,5.415101363928656e-07
3.2096465283071214,17.998492729952012,18.5,11.0,-2994.59622626865,5.415101363928656e-07
3.2082253713574573,17.998714785725397,18.5,11.0,-2994.6435850043954,5.415101363928656e-07
3.206854183818541,17.998929033778353,18.5,11.0,-2994.6878907029204,5.415101363928656e-07
3.220333342640379,17.99682291521244,18.5,11.0,-2993.824759740451,5.415101363928656e-07
3.233324474387155,17.994793050877007,18.5,11.0,-2992.991460451299,5.415101363928656e-07
3.225145951244531,17.996070945118042,18.5,11.0,-2993.4517535761483,5.415101363928656e-07
3.217261382332026,17.99730290901062,18.5,11.0,-2993.8940802381653,5.415101363928656e-07
3.209660153880577,17.99849060095616,18.5,11.0,-2994.319089197722,5.415101363928656e-07
3.2082471062333298,17.998711389651042,18.5,11.0,-2994.365961772402,5.415101363928656e-07
3.2068837355178403,17.998924416325337,18.5,11.0,-2994.409799187149,5.415101363928656e-07
3.2204156710080043,17.996810051405,18.5,11.0,-2993.5434526341246,5.415101363928656e-07
3.2334576741667664,17.994772238411443,18.5,11.0,-2992.707054211745,5.415101363928656e-07
3.2274548954796276,17.99571017258131,18.5,10.0,-3121.7524431033603,5.415101363928656e-07
3.223857542271981,17.996272259020003,18.5,10.0,-3121.9372140331075,5.415101363928656e-07
3.2203888839505,17.996814236882734,18.5,10.0,-3122.1141197309753,5.415101363928656e-07
3.2170442737649867,17.99733683222422,18.5,10.0,-3122.2834442268077,5.415101363928656e-07
3.213819232745573,17.997840744883504,18.5,10.0,-3122.445461294974,5.415101363928656e-07
3.2107094436446917,17.998326649430517,18.5,10.0,-3122.600434824664,5.415101363928656e-07
3.2077107450977564,17.998795196078476,18.5,10.0,-3122.7486191768085,5.415101363928656e-07
3.2048191259946637,17.999247011563334,18.5,10.0,-3122.8902595281243,5.415101363928656e-07
3.2020307200546085,17.999682699991467,18.5,10.0,-3123.025592202722,5.415101363928656e-07
3.2207360644934853,17.996759989922893,18.5,10.0,-3121.8475374765603,5.415101363928656e-07
3.2387648337520663,17.99394299472624,18.5,10.0,-3120.710839165731,5.415101363928656e-07
3.234747193092153,17.99457075107935,18.5,10.0,-3120.9213115673765,5.415101363928656e-07
3.2308734230458414,17.995176027649087,18.5,10.0,-3121.1229911293053,5.415101363928656e-07
3.227138328912429,17.995759636107433,18.5,10.0,-3121.316195374513,5.415101363928656e-07
3.2235369035565102,17.996322358819295,18.5,10.0,-3121.501230361178,5.415101363928656e-07
3.2200643206354016,17.99686494990072,18.5,10.0,-3121.6783910966305,5.415101363928656e-07
3.2167159280713804,17.997388136238847,18.5,10.0,-3121.8479619363566,5.415101363928656e-07
3.2134872417593217,17.997892618475106,18.5,10.0,-3122.010216968614,5.415101363928656e-07
3.210373939501915,17.998379071952826,18.5,10.0,-3122.1654203851426,5.415101363928656e-07
3.207371855163501,17.998848147630703,18.5,10.0,-3122.313826838503,5.415101363928656e-07
3.2044769730352076,17.99930047296325,15.0,10.0,-3122.4556817865096,5.415101363928656e-07
0.0,17.991077123400196,15.0,10.0,-3119.2047037645793,5.415101363928656e-07
0.0,17.974204280756613,15.0,10.0,-3112.5711700205175,5.415101363928656e-07
0.0,17.957367321157776,15.0,10.0,-3105.951744720031,5.415101363928656e-07
0.0,17.94091431013246,15.0,11.0,-2970.7645112323676,5.415101363928656e-07
0.0,17.92484444696202,15.0,11.0,-2964.440821464632,5.415101363928656e-07
0.0,17.908808790784303,15.0,11.0,-2958.130581284413,5.415101363928656e-07
0.0,17.89280726884591,15.0,11.0,-2951.8337620866077,5.415101363928656e-07
0.0,17.876839808548173,15.0,11.0,-2945.550335326949,5.415101363928656e-07
0.0,17.860906337446828,15.0,11.0,-2939.280272521881,5.415101363928656e-07
0.0,17.84465864140553,15.0,10.0,-3061.605431872795,5.415101363928656e-07
0.0,17.82809737285143,15.0,10.0,-3055.094403167501,5.415101363928656e-07
0.0,17.811571324670574,15.0,10.0,-3048.597222357326,5.415101363928656e-07
0.0,17.79508042195497,15.0,10.0,-3042.113859990033,5.415101363928656e-07
0.0,17.778624589955957,15.0,10.0,-3035.6442866760244,5.415101363928656e-07
0.0,17.762203754083842,15.0,10.0,-3029.18847308821,5.415101363928656e-07
0.0,17.74581783990758,15.0,10.0,-3022.7463899618756,5.415101363928656e-07
0.0,17.729466773154428,15.0,10.0,-3016.318008094547,5.415101363928656e-07
0.0,17.713150479709597,15.0,10.0,-3009.9032983458546,5.415101363928656e-07
0.0,17.696868885615945,15.0,10.0,-3003.502231637412,5.415101363928656e-07
0.0,17.68062191707362,15.0,10.0,-2997.1147789526767,5.415101363928656e-07
0.0,17.664409500439724,15.0,10.0,-2990.7409113368176,5.415101363928656e-07
0.0,17.648231562227995,15.0,10.0,-2984.3805998965872,5.415101363928656e-07
0.0,17.632088029108452,15.0,10.0,-2978.033815800187,5.415101363928656e-07
0.0,17.61597882790708,15.0,10.0,-2971.7005302771395,5.415101363928656e-07
0.0,17.599903885605507,15.0,10.0,-2965.3807146181625,5.415101363928656e-07
0.0,17.58386312934064,15.0,10.0,-2959.0743401750274,5.415101363928656e-07
0.0,17.56785648640436,15.0,10.0,-2952.7813783604392,5.415101363928656e-07
0.0,17.551883884243196,15.0,10.0,-2946.5018006479045,5.415101363928656e-07
0.0,17.53594525045797,15.0,10.0,-2940.235578571595,5.415101363928656e-07
0.0,17.520040512803504,15.0,10.0,-2933.982683726234,5.415101363928656e-07
0.0,17.50416959918826,15.0,10.0,-2927.7430877669503,5.415101363928656e-07
0.0,17.488332437674025,18.5,10.0,-2921.516762409159,5.415101363928656e-07
6.4639309871917705,17.490010783251286,18.5,10.0,-2922.1403698182808,5.415101363928656e-07
6.34341338316674,17.508841658880197,18.5,10.0,-2929.4718819028717,5.415101363928656e-07
6.227246118889389,17.526992793923533,18.5,10.0,-2936.5374831850672,5.415101363928656e-07
6.115272116557617,17.544488731787872,15.0,10.0,-2943.3467749534425,5.415101363928656e-07
0.0,17.545106091026256,15.0,10.0,-2943.555215124765,5.415101363928656e-07
0.0,17.529183396309158,15.0,10.0,-2937.295266295735,5.415101363928656e-07
0.0,17.513294563788683,15.0,10.0,-2931.0486313553206,5.415101363928656e-07
0.0,17.497787663291625,15.0,11.0,-2796.2333953626585,5.415101363928656e-07
0.0,17.48266189838822,15.0,11.0,-2790.280911911153,5.415101363928656e-07
0.0,17.467568332496068,15.0,11.0,-2784.3410885511003,5.415101363928656e-07
0.0,17.452506897132423,15.0,11.0,-2778.4138983565276,5.415101363928656e-07
0.0,17.437477523960183,15.0,11.0,-2772.4993144587265,5.415101363928656e-07
0.0,17.422480144787595,15.0,11.0,-2766.5973100461383,5.415101363928656e-07
0.0,17.4078931610729,18.5,11.0,-2620.9248250565697,5.415101363928656e-07
6.959754644934219,17.41253833672903,18.5,11.0,-2622.704648710409,5.415101363928656e-07
6.812176560850367,17.43559741236713,18.5,11.0,-2631.6856532518386,5.415101363928656e-07
6.669925734760864,17.457824103943615,18.5,11.0,-2640.341033587208,5.415101363928656e-07
6.532809815253723,17.479248466366606,18.5,11.0,-2648.682547083824,5.415101363928656e-07
6.40064339615476,17.49989946935082,18.5,11.0,-2656.7215265854006,5.415101363928656e-07
6.273020618117471,17.519840528419145,18.5,11.0,-2651.1318113156117,5.415101363928656e-07
6.149777423661317,17.53909727755292,18.5,11.0,-2658.6253579058402,5.415101363928656e-07
6.030982826572426,17.55765893334806,18.5,11.0,-2665.8469879060626,5.415101363928656e-07
5.916476201263141,17.575550593552634,18.5,11.0,-2672.806519461162,5.415101363928656e-07
5.806102721858565,17.5927964497096,18.5,11.0,-2679.51341621198,5.415101363928656e-07
5.699713152786012,17.609419819877186,18.5,11.0,-2685.9768000954073,5.415101363928656e-07
5.58329329485664,17.62761042267865,18.5,11.0,-1877.8009742766017,5.415101363928656e-07
5.457205303036926,17.64731167140048,18.5,11.0,-1885.4678860473155,5.415101363928656e-07
5.335668608023162,17.66630177999638,18.5,11.0,-1892.8566038023444,5.415101363928656e-07
5.218518876056715,17.68460642561614,18.5,11.0,-1899.9771723463502,5.415101363928656e-07
5.1055977069826675,17.70225035828396,18.5,11.0,-1906.8392737959432,5.415101363928656e-07
4.996752420005078,17.719257434374207,18.5,11.0,-1913.4522406752687,5.415101363928656e-07
4.901557600430761,17.734131624932694,18.5,11.0,-2490.6425542485686,5.415101363928656e-07
4.819520376799687,17.74694994112505,18.5,11.0,-2495.617267617081,5.415101363928656e-07
4.740443920522603,17.759305637418343,18.5,11.0,-2500.411007138097,5.415101363928656e-07
4.664221327132873,17.77121541763549,18.5,11.0,-2505.030307284454,5.415101363928656e-07
4.59074955216654,17.782695382473978,18.5,11.0,-2509.48146658859,5.415101363928656e-07
4.519929271789033,17.793761051282964,18.5,11.0,-2513.77055616165,5.415101363928656e-07
4.4507617248750195,17.80456848048828,18.5,12.0,-2464.881971351574,5.415101363928656e-07
4.383187160642911,17.815127006149545,18.5,12.0,-2468.9682315508667,5.415101363928656e-07
4.3180510093161955,17.825304529794344,18.5,12.0,-2472.9054466596235,5.415101363928656e-07
4.25526522710029,17.83511480826558,18.5,12.0,-2476.6989983031526,5.415101363928656e-07
4.1947449492004125,17.844571101687436,18.5,12.0,-2480.3540737922585,5.415101363928656e-07
4.136408375037445,17.8536861914004,18.5,12.0,-2483.8756731393614,5.415101363928656e-07
4.082124563278285,17.862168036987768,18.5,12.0,-2601.640847677987,5.415101363928656e-07
4.031747182029449,17.8700395028079,18.5,12.0,-2604.6760232929555,5.415101363928656e-07
3.983187277337129,17.877626987916074,18.5,12.0,-2607.6001081851145,5.415101363928656e-07
3.9363792255731145,17.8849407460042,18.5,12.0,-2610.417113560237,5.415101363928656e-07
3.891259772583544,17.89199066053382,18.5,12.0,-2613.130905791365,5.415101363928656e-07
3.847767948133992,17.898786258104064,18.5,12.0,-2615.745211648304,5.415101363928656e-07
3.8036871369273744,17.905673884855098,15.0,12.0,-2491.564612244372,5.415101363928656e-07
0.0,17.902483583608284,15.0,12.0,-2490.273633930365,5.415101363928656e-07
0.0,17.88901288533689,15.0,12.0,-2484.9622736765214,5.415101363928656e-07
0.0,17.87557091802229,15.0,12.0,-2479.6622101648422,5.415101363928656e-07
0.0,17.862157620556566,15.0,12.0,-2474.373419368977,5.415101363928656e-07
0.0,17.848772931961754,15.0,12.0,-2469.095877313671,5.415101363928656e-07
0.0,17.834609538239683,15.0,12.0,-2761.978532340626,5.415101363928656e-07
0.0,17.819669086377985,15.0,12.0,-2756.09269576475,5.415101363928656e-07
0.0,17.8047604730115,15.0,12.0,-2750.219377672941,5.415101363928656e-07
0.0,17.78988363042348,15.0,12.0,-2744.3585514403994,5.415101363928656e-07
0.0,17.7750384910412,15.0,12.0,-2738.510190498952,5.415101363928656e-07
0.0,17.760224987435656,15.0,12.0,-2732.6742683369303,5.415101363928656e-07
0.0,17.74499928346229,15.0,11.0,-2890.7513002345195,5.415101363928656e-07
0.0,17.729362238836682,18.5,11.0,-2884.597852749116,5.415101363928656e-07
4.9463288356307205,17.7271361194327,18.5,11.0,-2883.689141524833,5.415101363928656e-07
4.876142431216613,17.738102745122404,18.5,11.0,-2887.939782878291,5.415101363928656e-07
4.808488906576304,17.748673608347453,18.5,11.0,-2892.0356047518053,5.415101363928656e-07
4.743276806991912,17.758862998907514,18.5,11.0,-2895.9821972613718,5.415101363928656e-07
4.680417979903768,17.768684690640036,18.5,11.0,-2899.7849486805053,5.415101363928656e-07
4.6198274556790695,17.778151960050145,18.5,11.0,-2903.44905272818,5.415101363928656e-07
4.561423332686104,17.787277604267796,18.5,11.0,-2906.9795155936,5.415101363928656e-07
4.505126666517618,17.796073958356622,18.5,11.0,-2910.3811627073574,5.415101363928656e-07
4.450861363214426,17.804552911997746,18.5,11.0,-2913.6586452680767,5.415101363928656e-07
4.3985540763439985,17.81272592557125,18.5,11.0,-2916.8164465334266,5.415101363928656e-07
4.34813410779559,17.82060404565694,18.5,11.0,-2919.8588878839564,5.415101363928656e-07
4.299533312157201,17.828197919975437,18.5,11.0,-2922.790134668002,5.415101363928656e-07
4.252686004545104,17.835517811789828,18.5,11.0,-2925.6142018355486,5.415101363928656e-07
4.207528871761588,17.842573613787252,18.5,11.0,-2928.334959368665,5.415101363928656e-07
4.164000886660415,17.84937486145931,18.5,11.0,-2930.9561375158623,5.415101363928656e-07
4.1220432256041475,17.855930745999352,18.5,11.0,-2933.4813318374677,5.415101363928656e-07
4.081599188902191,17.862250126734033,18.5,11.0,-2935.9140080688016,5.415101363928656e-07
4.042614124121338,17.86834154310604,18.5,11.0,-2938.257506807777,5.415101363928656e-07
4.00503535216526,17.874213226224178,18.5,11.0,-2940.5150480332472,5.415101363928656e-07
3.9688120960233393,17.879873109996353,18.5,11.0,-2942.689735460188,5.415101363928656e-07
3.9338954120918745,17.885328841860645,18.5,11.0,-2944.7845607376535,5.415101363928656e-07
3.9002381239752824,17.890587793128862,18.5,11.0,-2946.802407495138,5.415101363928656e-07
3.869984712914038,17.89531488860718,18.5,10.0,-3077.330273258802,5.415101363928656e-07
3.8430123514340724,17.899529320088426,18.5,10.0,-3078.943999044687,5.415101363928656e-07
3.817012692757362,17.903591766756662,18.5,10.0,-3080.498270103546,5.415101363928656e-07
3.7919506155155207,17.9075077163257,18.5,10.0,-3081.9952332084054,5.415101363928656e-07
3.7677922664683594,17.91128245836432,18.5,10.0,-3083.4369576186955,5.415101363928656e-07
3.7445050147155827,17.91492109145069,18.5,10.0,-3084.825437879038,5.415101363928656e-07
3.722057407561829,17.918428530068464,18.5,10.0,-3086.162596516968,5.415101363928656e-07
3.700419127975056,17.921809511253898,18.5,10.0,-3087.450286643267,5.415101363928656e-07
3.679560953581131,17.92506860100295,18.5,10.0,-3088.690294458391,5.415101363928656e-07
3.659454717139079,17.92821020044702,18.5,10.0,-3089.884341668403,5.415101363928656e-07
3.6400732684432797,17.931238551805738,18.5,10.0,-3091.034087813672,5.415101363928656e-07
3.6213904376013946,17.934157744124782,18.5,10.0,-3092.1411325134954,5.415101363928656e-07
3.603380999638034,17.936971718806557,18.5,10.0,-3093.207017629674,5.415101363928656e-07
3.586020640376819,17.939684274941122,18.5,10.0,-3094.233229351953,5.415101363928656e-07
3.5692859235539802,17.94229907444469,18.5,10.0,-3095.2212002081847,5.415101363928656e-07
3.553154259119606,17.94481964701256,18.5,10.0,-3096.1723110018943,5.415101363928656e-07
3.5376038726833716,17.947249394893223,18.5,10.0,-3097.0878926798923,5.415101363928656e-07
3.5226137760634857,17.94959159749008,18.5,10.0,-3097.9692281324546,5.415101363928656e-07
3.5081637388990203,17.951849415797028,18.5,10.0,-3098.8175539285,5.415101363928656e-07
3.494234261287261,17.954025896673866,15.0,10.0,-3099.634061988116,5.415101363928656e-07
0.0,17.946709604196705,15.0,10.0,-3096.738183397547,5.415101363928656e-07
0.0,17.92995829031239,15.0,10.0,-3090.152545266202,5.415101363928656e-07
0.0,17.913242600389133,15.0,10.0,-3083.5809137095935,5.415101363928656e-07
0.0,17.896562458660597,15.0,10.0,-3077.023258937999,5.415101363928656e-07
0.0,17.879569647675435,15.0,9.0,-3199.061437849422,5.415101363928656e-07
0.0,17.86226481655283,15.0,9.0,-3192.2640389310545,5.415101363928656e-07
0.0,17.84499675487791,15.0,9.0,-3185.481096836375,5.415101363928656e-07
0.0,17.82776538444879,15.0,9.0,-3178.712580818058,5.415101363928656e-07
0.0,17.810570627229893,15.0,9.0,-3171.9584601941683,5.415101363928656e-07
0.0,17.793412405351635,15.0,9.0,-3165.2187043480317,5.415101363928656e-07
0.0,17.776290641110037,15.0,9.0,-3158.4932827280877,5.415101363928656e-07
0.0,17.759205256966382,15.0,9.0,-3151.782164847754,5.415101363928656e-07
0.0,17.742156175546874,15.0,9.0,-3145.0853202852923,5.415101363928656e-07
0.0,17.725143319642264,15.0,9.0,-3138.402718683658,5.415101363928656e-07
0.0,17.70816661220753,15.0,9.0,-3131.734329750381,5.415101363928656e-07
0.0,17.6912259763615,15.0,9.0,-3125.080123257411,5.415101363928656e-07
0.0,17.67397319354037,15.0,8.0,-3247.0219556653624,5.415101363928656e-07
0.0,17.656408911753225,15.0,8.0,-3240.1284150249608,5.415101363928656e-07
0.0,17.638881919477456,15.0,8.0,-3233.2495355541505,5.415101363928656e-07
0.0,17.621392137405806,15.0,8.0,-3226.3852860710017,5.415101363928656e-07
0.0,17.603939486399682,15.0,8.0,-3219.535635459895,5.415101363928656e-07
0.0,17.58652388748881,15.0,8.0,-3212.700552671394,5.415101363928656e-07
0.0,17.569145261870872,15.0,8.0,-3205.880006722098,5.415101363928656e-07
0.0,17.55180353091115,15.0,8.0,-3199.073966694503,5.415101363928656e-07
0.0,17.534498616142173,15.0,8.0,-3192.2824017368616,5.415101363928656e-07
0.0,17.517230439263354,15.0,8.0,-3185.505281063046,5.415101363928656e-07
0.0,17.499998922140634,15.0,8.0,-3178.7425739523983,5.415101363928656e-07
0.0,17.482803986806147,15.0,8.0,-3171.994249749608,5.415101363928656e-07
0.0,17.465993697303993,15.0,9.0,-3036.6783912401843,5.415101363928656e-07
0.0,17.44956725143402,15.0,9.0,-3030.2263497487415,5.415101363928656e-07
0.0,17.4331757068557,15.0,9.0,-3023.788030561609,5.415101363928656e-07
0.0,17.416818989340427,15.0,9.0,-3017.3634044936703,5.415101363928656e-07
0.0,17.400497024817444,15.0,9.0,-3010.9524424218685,5.415101363928656e-07
0.0,17.384209739373542,15.0,9.0,-3004.5551152850976,5.415101363928656e-07
0.0,17.367957059252717,15.0,9.0,-2998.1713940840555,5.415101363928656e-07
0.0,17.351738910855815,15.0,9.0,-2991.801249881113,5.415101363928656e-07
0.0,17.335555220740233,15.0,9.0,-2985.444653800194,5.415101363928656e-07
0.0,17.319405915619562,15.0,9.0,-2979.1015770266335,5.415101363928656e-07
0.0,17.303290922363253,15.0,9.0,-2972.7719908070467,5.415101363928656e-07
0.0,17.287210167996314,15.0,9.0,-2966.4558664492115,5.415101363928656e-07
